N° ocorrência;Data;Matrícula;Classificação;Tipo;Localidade;UF;Aeródromo;Operação;Status
84647;09/05/2024;PRSDL;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GUARULHOS;SP;SBGR;NÃO REGULAR;FINALIZADA
84650;08/05/2024;PRRTE;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MANAUS;AM;SBEG;NÃO REGULAR;FINALIZADA
84642;08/05/2024;PRSDV;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SALVADOR;BA;***;REGULAR;FINALIZADA
84639;08/05/2024;PRSDU;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84648;07/05/2024;PRFAA;ACIDENTE;VOO CONTROLADO CONTRA O TERRENO;IRACEMA;RR;***;PRIVADA;ATIVA
84625;06/05/2024;PRYSO;INCIDENTE;COLISÃO COM AVE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84624;06/05/2024;PRPDS;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;JUAZEIRO DO NORTE;CE;SBJU;REGULAR;FINALIZADA
84623;06/05/2024;PRMBV;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84646;04/05/2024;PSLRE;INCIDENTE GRAVE;INCURSÃO EM PISTA;RIO DE JANEIRO;RJ;SBRJ;PRIVADA;FINALIZADA
84622;03/05/2024;PPPML;INCIDENTE;COLISÃO COM AVE;JANDIRA;SP;***;PRIVADA;FINALIZADA
84618;01/05/2024;PRFOT;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BELO HORIZONTE;MG;SBBH;ESPECIALIZADA;FINALIZADA
84569;30/04/2024;PRYSB;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;PORTO ALEGRE;RS;SBPA;REGULAR;FINALIZADA
84567;30/04/2024;PRAJY;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84566;30/04/2024;PRTYO;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84565;30/04/2024;N538LA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84564;29/04/2024;PTTME;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84563;29/04/2024;PRVTF;ACIDENTE;EXCURSÃO DE PISTA, FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CUIABÁ;MT;SBCY;PRIVADA;ATIVA
84649;27/04/2024;PPDUN;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CERQUILHO;SP;***;PRIVADA;FINALIZADA
84597;26/04/2024;PSJMS;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR, OPERAÇÃO A BAIXA ALTITUDE;TAPURAH;MT;****;AGRÍCOLA;ATIVA
84596;26/04/2024;PSDHM;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPINAS;SP;***;PRIVADA;FINALIZADA
84568;26/04/2024;PTTMA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84496;26/04/2024;PRSLU;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84495;26/04/2024;PTTMA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84494;26/04/2024;PTMXO;INCIDENTE;CONTATO ANORMAL COM A PISTA;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84493;26/04/2024;PRAXX;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84492;26/04/2024;PRYYJ;INCIDENTE;OUTROS;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84599;25/04/2024;PTNJM;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FELIZ NATAL;MT;***;PRIVADA;ATIVA
84489;25/04/2024;PRYJD;INCIDENTE;COLISÃO COM AVE;MANAUS;AM;SBEG;REGULAR;FINALIZADA
84595;24/04/2024;PUJCD;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO, FALHA OU MAU FUNCIONAMENTO DO MOTOR;ARIQUEMES;RO;SJOG;EXPERIMENTAL;ATIVA
84561;24/04/2024;PTMXI;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;SBBR;REGULAR;FINALIZADA
84548;24/04/2024;PRSDM;INCIDENTE;COLISÃO COM AVE;FORTALEZA;CE;****;REGULAR;FINALIZADA
84490;24/04/2024;PRTYA;INCIDENTE;COLISÃO COM AVE;JOINVILLE;SC;SBJV;REGULAR;FINALIZADA
84488;24/04/2024;PRMBG;INCIDENTE;COLISÃO COM AVE;SÃO PAULO;SP;SBSP;REGULAR;FINALIZADA
